                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.7361,                0.58517,                0.96802,                0.93934,                0.86203,                0.92747,                0.79148,                0.61268,                0.44895,                0.87504,               0.001288,               0.001288,               0.001288
                     90,                0.74246,                0.59555,                0.95445,                   0.93,                0.86795,                0.92592,                0.79061,                0.61555,                0.44891,                 0.8753,               0.001189,               0.001189,               0.001189
                     91,                 0.7591,                0.61725,                 0.9527,                0.93347,                0.86378,                0.92889,                0.79018,                0.61883,                0.45417,                0.87532,                0.00109,                0.00109,                0.00109
                     92,                0.72075,                0.56436,                0.96072,                0.91116,                 0.8767,                 0.9304,                0.78987,                0.62152,                0.46065,                0.87529,               0.000991,               0.000991,               0.000991
                     93,                0.72468,                0.56639,                 0.9329,                0.90251,                0.88802,                0.92778,                0.79296,                0.61822,                0.46353,                0.87427,               0.000892,               0.000892,               0.000892
                     94,                0.72295,                0.53965,                0.93649,                0.90754,                0.87118,                  0.921,                 0.7925,                0.61702,                0.46656,                0.87356,               0.000793,               0.000793,               0.000793
                     95,                0.67861,                0.51183,                0.91897,                0.92304,                0.85684,                0.92073,                0.78867,                0.61694,                0.46915,                0.87337,               0.000694,               0.000694,               0.000694
                     96,                0.68337,                0.53797,                0.93451,                0.93368,                0.85333,                0.92101,                0.79261,                0.61389,                0.46876,                0.87256,               0.000595,               0.000595,               0.000595
                     97,                0.69058,                0.52103,                 0.9383,                0.93121,                0.85522,                0.92907,                0.79974,                0.60749,                0.46238,                 0.8705,               0.000496,               0.000496,               0.000496
                     98,                0.68617,                0.52838,                0.95947,                0.87966,                0.89711,                0.92951,                0.80157,                  0.601,                0.45787,                0.86841,               0.000397,               0.000397,               0.000397
                     99,                0.69061,                0.51237,                0.92758,                0.90392,                 0.8869,                0.93335,                0.80295,                0.59919,                0.45601,                0.86812,               0.000298,               0.000298,               0.000298
